epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.169,1.18735,3.1314,1.08855,0.64599,0.65037,0.69691,0.51871,1.00043,1.59408,1.04038,0.0673708,0.000329588,0.000329588
2,124.37,1.14363,1.18263,1.07115,0.82854,0.91094,0.93555,0.68136,0.96635,0.80803,1.02483,0.0343708,0.000662915,0.000662915
3,185.507,1.11305,0.96773,1.05643,0.74601,0.80769,0.92846,0.66241,1.00564,1.31715,1.0405,0.00137075,0.000996216,0.000996216
4,245.165,1.11159,0.93538,1.06303,0.84317,0.80592,0.92705,0.65027,1.06191,0.92949,1.08091,0.000999912,0.000999912,0.000999912
5,305.361,1.12786,0.88791,1.06554,0.86306,0.92824,0.96932,0.70385,1.00036,0.71505,1.03837,0.000999844,0.000999844,0.000999844
6,367.353,1.09686,0.81755,1.05384,0.84906,0.87604,0.95392,0.6998,0.99504,1.02751,1.04671,0.000999756,0.000999756,0.000999756
7,427.896,1.07755,0.77118,1.04944,0.93852,0.9671,0.99043,0.72336,0.97046,0.60462,1.01793,0.000999648,0.000999648,0.000999648
8,488.419,1.05762,0.7244,1.03288,0.89465,0.93979,0.97713,0.71483,0.97785,0.62897,1.02871,0.000999521,0.000999521,0.000999521
9,548.918,1.05796,0.70989,1.0444,0.89766,0.9171,0.97305,0.718,0.94317,0.62607,1.01013,0.000999375,0.000999375,0.000999375
10,608.624,1.04683,0.68042,1.03638,0.94605,0.96267,0.98879,0.73536,0.93873,0.52594,1.00742,0.000999209,0.000999209,0.000999209
11,668.814,1.05069,0.6675,1.03439,0.92881,0.97364,0.9841,0.73663,0.94919,0.52108,1.01635,0.000999023,0.000999023,0.000999023
12,729.109,1.0315,0.64587,1.03198,0.91256,0.94821,0.98076,0.7219,0.95321,0.62097,1.01821,0.000998818,0.000998818,0.000998818
13,788.087,1.01926,0.62299,1.02467,0.9546,0.95708,0.98842,0.74149,0.91978,0.49143,0.99227,0.000998594,0.000998594,0.000998594
14,848.092,1.03577,0.63232,1.02979,0.9427,0.96787,0.98438,0.73227,0.94146,0.51793,1.01045,0.00099835,0.00099835,0.00099835
15,907.257,1.01247,0.61262,1.0223,0.96148,0.96546,0.98759,0.73649,0.92597,0.46864,0.99723,0.000998086,0.000998086,0.000998086
16,966.939,1.01464,0.60375,1.02647,0.95623,0.97356,0.99221,0.74319,0.91709,0.46131,0.99711,0.000997803,0.000997803,0.000997803
17,1027.03,1.01251,0.59122,1.02125,0.95788,0.96868,0.99128,0.7451,0.93469,0.47092,1.00161,0.000997501,0.000997501,0.000997501
